"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
US48,"5/30/2024 10 a.m. EDT",51431.83,36013.24,33790.81,7844.39,332,160884.73,57476.22,95294
US48,"5/30/2024 11 a.m. EDT",51161.88,48714.71,31899.55,6777.5,451,160552.84,59389.51,95257
US48,"5/30/2024 12 p.m. EDT",52747.87,60701.72,31604.3,5676.49,427,165350.1,61656.6,94939
US48,"5/30/2024 1 p.m. EDT",54207.91,66315.13,30822.53,5209.48,358,172898,62467.1,94737
US48,"5/30/2024 2 p.m. EDT",53034.87,68507.4,32715.09,5274.7,331,180731.94,64511.01,95081
US48,"5/30/2024 3 p.m. EDT",50558.88,69130.8,33818.23,4230.82,352,189237.32,67591.33,95068
US48,"5/30/2024 4 p.m. EDT",48031.91,68190.37,37640.41,4359.42,1012,196942.26,70755.42,95078
US48,"5/30/2024 5 p.m. EDT",45098.92,63867.59,41107.18,5594.77,978,203909.32,74115.34,95088
US48,"5/30/2024 6 p.m. EDT",45084.92,59173.8,43045.81,6042.87,957,209303.42,76176.77,95070
US48,"5/30/2024 7 p.m. EDT",46191.91,51020.92,44493.52,6062.04,979,213680.32,76449.08,95095
US48,"5/30/2024 8 p.m. EDT",49321.88,39112.38,44721.7,5740.69,973,217415.26,76539.02,94935
US48,"5/30/2024 9 p.m. EDT",53827.92,27920.28,44982.82,5932.14,794,216235.48,76483.78,94132
US48,"5/30/2024 10 p.m. EDT",54467.99,18451.12,43737.37,7709.75,660,212091.26,76367.46,93999
US48,"5/30/2024 11 p.m. EDT",55763.61,9387.64,42683.2,8544.02,644,200720.32,72967.53,93887
US48,"5/31/2024 12 a.m. EDT",55169.45,2239.74,40133.36,10896.13,304,188644.26,67826.21,93941
US48,"5/31/2024 1 a.m. EDT",55915.04,654.67,36273.3,9611.87,308,179852.16,62544.87,94009
US48,"5/31/2024 2 a.m. EDT",53372.73,417.36,34267.89,8673.38,306,170708.32,57600.35,94110
US48,"5/31/2024 3 a.m. EDT",48743.79,206.34,32290.27,6785.27,299,162914.32,55615.29,94171
US48,"5/31/2024 4 a.m. EDT",47408.98,156.45,31958.45,4981.25,282,153383.32,54182.8,94202
US48,"5/31/2024 5 a.m. EDT",43064.29,156.55,30658.92,4938.18,283,152794.16,54283.99,94244
US48,"5/31/2024 6 a.m. EDT",40331.88,437.43,29803.16,4902.28,284,159081.16,54229.65,94269
US48,"5/31/2024 7 a.m. EDT",38433.2,3437.34,30518.34,5529.11,283,164740.32,55098.81,94291
US48,"5/31/2024 8 a.m. EDT",33269.31,10040.53,33107.94,5626.11,301,167716.16,59217.22,94280
US48,"5/31/2024 9 a.m. EDT",29556.87,19661.6,34914.08,5953.31,324,169373.58,61204.75,94266
US48,"5/31/2024 10 a.m. EDT",26447.6,32714.71,34125.66,6982.03,318,170478.16,62690.4,94273
US48,"5/31/2024 11 a.m. EDT",26185.93,47010.6,32717.8,6017.77,347,170803.42,62253.67,94264
US48,"5/31/2024 12 p.m. EDT",24953.23,60111.74,31588.36,6019.97,325,173366.32,63227.78,94369
US48,"5/31/2024 1 p.m. EDT",24247.99,68414.12,31043.88,5551.69,337,178584.42,64413.09,94298
US48,"5/31/2024 2 p.m. EDT",24697.33,72143.13,32360.88,6045.14,327.99,184803.16,64957.16,94294
US48,"5/31/2024 3 p.m. EDT",25353.92,72523.42,34118.17,5727.69,321,193199.32,66171.47,94265
US48,"5/31/2024 4 p.m. EDT",27073.84,71512.6,39252.32,5408.15,316,199506.26,67121.39,94216
US48,"5/31/2024 5 p.m. EDT",28564.83,68527.16,42369.16,6142.41,312,205707.48,69844.05,94218
US48,"5/31/2024 6 p.m. EDT",31204.85,63201.43,44545.23,5590.93,358,213225.26,71763.06,94194
US48,"5/31/2024 7 p.m. EDT",34454.85,52760.9,46081.75,6282.85,347,217010.32,73011.73,94198
US48,"5/31/2024 8 p.m. EDT",35800.95,41404.79,46063.26,6437.78,309,217466.26,75106.92,94201
US48,"5/31/2024 9 p.m. EDT",37020.74,30612.6,44491.23,6443.67,293,220155.48,77310.31,94244
US48,"5/31/2024 10 p.m. EDT",39477.71,19130.49,42677.74,7562.01,298,216609.26,76851.16,93919
US48,"5/31/2024 11 p.m. EDT",41107.77,9493.58,40770.36,8835.97,311,208618.16,73331.12,93628
US48,"6/1/2024 12 a.m. EDT",43566.95,2339.3,39045.53,11296.19,299,196354.42,68154.6,93317
